Team	run_ID	Base model	Type Model	Model type	Model size	Method	Type	Loss	LLM usage	External data	MAP	MRR	NDCG
pjmathematician	278954	Alibaba-NLP/gte-Qwen2-7B-instruct	Multilingual Decoder	Decoder	7B	Retrieval	Contrastive learning	CachedGIST	Data Augmentation	n/a	0.360	0.8433862434	0.7760320634
moali	284333	Multilingual E5 Large Instruct	Multilingual Encoder	Encoder	560M	Retrieval	Contrastive learning	InfoNCE	Data Augmentation	ESCO data	0.345	0.8325139457	0.7664755323
pjmathematician	278957	BAAI/bge-large-en-v1.5	Multilingual Encoder	Encoder	335M	Retrieval	Contrastive learning	GIST	Data Augmentation	n/a	0.3421119395	0.8438746439	0.7677873139
moali	284329	BAAI/bge-large-en-v1.5	Multilingual Encoder	Encoder	335M	Retrieval	Contrastive learning	GIST	Data Augmentation	n/a	0.3391691008	0.842969068	0.7627145905
NLPnorth	279245	microsoft/mdeberta-v3-base	Multilingual Encoder	Encoder	276M	Retrieval	Classification	CrossEntropy	No usage	n/a	0.290	0.7324805352	0.7218298657
NLPnorth	279242	Alibaba-NLP/gte-Qwen2-7B-instruct	Multilingual Decoder	Decoder	7.61B	Retrieval	Zero-shot	n/a	No usage	n/a	0.2829704749	0.8458553792	0.7368252511
iagox	284949	all-MiniLM-L6v2	Encoder+Multilingual Decoder	Encoder+Decoder	4.022B	Retrieval	Ensemble	n/a	Reranking	n/a	0.278	0.8168514129	0.7312591228
iagox	284911	all-MiniLM-L6v2	Encoder	Encoder+Decoder	31.022B	Retrieval	Ensemble	n/a	Reranking	n/a	0.2739782682	0.8099150256	0.7272930302
Techwolf	284992	sentence-transformers/paraphrase-multilingual-mpnet-base-v2	Multilingual Encoder	Encoder	278M	Retrieval	Contrastive learning	InfoNCE	No usage	Internal data	0.2545638745	0.8155474155	0.711162326
NLPnorth	279243	sentence-transformers/paraphrase-multilingual-mpnet-base-v2	Multilingual Encoder	Encoder	278M	Retrieval	Contrastive learning	InfoNCE	No usage	ESCO data	0.2530110026	0.6657321092	0.6555711864
iagox	283226	all-MiniLM-L6v2	Encoder	Encoder+Decoder	31.022B	Retrieval	Ensemble	n/a	Reranking	n/a	0.2496957702	0.7837537344	0.7133620962
SkillSeekers	284784	paraphrase-multilingual-mpnet-base-v2	Multilingual Encoder	Encoder	278M	Retrieval	Zero-shot	n/a	No usage	n/a	0.224	0.7598583213	0.6920646498
COTECMAR - UTB	284555	paraphrase-multilingual-mpnet-base-v2	Multilingual Encoder	Encoder	278M	Retrieval	Zero-shot	n/a	No usage	n/a	0.215	0.7965985991	0.6177828097
TalentCLEF	281657	sentence-transformers/paraphrase-multilingual-mpnet-base-v2	Multilingual Encoder	encoder	278M	Retrieval	Zero-shot	n/a	No usage	n/a	0.196	0.7864239407	0.6761292162
HULAT-UC3M.	280606	snowflake-arctic-embed-l-v2.0	Multilingual Encoder	Encoder	568M	Retrieval+Reranking	Zero-shot	n/a	Reranking	n/a	0.141	0.8608499525	0.3041869635
HULAT-UC3M.	280723	snowflake-arctic-embed-l-v2.0	Multilingual Encoder	Encoder	568M	Retrieval	Zero-shot	n/a	No usage	n/a	0.1114807875	0.6427992298	0.2810479948
HULAT-UC3M.	282011	Gemini 2.5 Flash	Multilingual Decoder	Decoder	568M	Reranking	Zero-shot	n/a	Reranking	n/a	0.1113508947	0.8129090046	0.270585863
