Rank	Team	run_ID	Baseline	ID errors	Avg.MAP(en,es)	MAP(en-en)	MRR(en-en)	NDCG(en-en)	P@5(en-en)	P@10(en-en)	P@100(en-en)	MAP(es-es)	MRR(es-es)	NDCG(es-es)	P@5(es-es)	P@10(es-es)	P@100(es-es)	MAP(en-es)	MRR(en-es)	NDCG(en-es)	P@5(en-es)	P@10(en-es)	P@100(en-es)	MAP_male(es-es)	MAP_female(es-es)	MAP_neutral(es-es)	MAP_gender(es-es)	RBO(es-es)	MAP_male(en-es)	MAP_female(en-es)	MAP_neutral(en-es)	MAP_gender(en-es)	RBO(en-es)	RBO(en-en)	Avg.RBO	Representation type	Methodology	System details	LLM usage	Bias mitigation	External data	Models	Pipeline	Representation	LLM strategy	Fine-tuned	Uses external data	Bias handling
1	classum	715941	no	no	0.7139	0.7122	0.8752	0.8814	0.805	0.785	0.2505	0.7157	0.8678	0.8814	0.815	0.7875	0.251	0.7038	0.8597	0.874	0.82	0.7925	0.2505	0.7191	0.7242		0.7217	0.9699	0.7108	0.7099		0.7104	0.9684	0.9718	0.9700	Encoder; Decoder	Retrieval; Reranking; Rank fusion		Prompt engineering; LLM entity extraction; Listwise reranking		No	JobBERT-v3; KaLM-12B; Octen-8B; Nemotron-8B; ZEmbed1-4B; Harrier-27B; gemini-embedding-001; GPT-5.5; Claude Opus 4.6; Gemini 3 Flash; Cohere-rerank-4; zerank-2	Retrieval+Reranking	Dense+Generative	Reranking + augmentation	No	No	No
2	classum	707960	no	no	0.7117	0.7003	0.848	0.8712	0.805	0.775	0.25	0.7231	0.8694	0.8859	0.825	0.785	0.2507	0.7044	0.8698	0.8762	0.825	0.78	0.2487	0.7282	0.7311		0.7297	0.989	0.711	0.7101		0.7106	0.9892	0.9931	0.9904	Encoder; Decoder	Retrieval; Reranking; Rank fusion		Prompt engineering; LLM entity extraction; Listwise reranking		No	JobBERT-v3; KaLM-12B; Octen-8B; Nemotron-8B; ZEmbed1-4B; Harrier-27B; gemini-embedding-001; GPT-5.5; Claude Opus 4.6; Gemini 3 Flash; Cohere-rerank-4; zerank-2	Retrieval+Reranking	Dense+Generative	Reranking + augmentation	No	No	No
3	classum	715062	no	no	0.7097	0.6991	0.844	0.8683	0.805	0.765	0.25	0.7203	0.8564	0.8836	0.815	0.785	0.25	0.7037	0.8729	0.8765	0.83	0.775	0.2487	0.7243	0.7258		0.7251	0.9862	0.7131	0.7091		0.7111	0.9874	0.9929	0.9888	Encoder; Decoder	Retrieval; Reranking; Rank fusion		Prompt engineering; LLM entity extraction; Listwise reranking		No	JobBERT-v3; KaLM-12B; Octen-8B; Nemotron-8B; ZEmbed1-4B; Harrier-27B; gemini-embedding-001; GPT-5.5; Claude Opus 4.6; Gemini 3 Flash; Cohere-rerank-4; zerank-2	Retrieval+Reranking	Dense+Generative	Reranking + augmentation	No	No	No
4	QTPride	696980	no	no	0.6632	0.6622	0.8926	0.8651	0.805	0.755	0.2447	0.6641	0.8827	0.8657	0.815	0.76	0.245	0.6355	0.8526	0.8473	0.77	0.715	0.242	0.6763	0.6683		0.6723	0.8979	0.6534	0.6381		0.6458	0.8575	0.8971	0.8842	Encoder	Retrieval	RRF; Relational Graph Convolutional Network; KG-enhanced retrieval	LLM entity extraction		No	multilingual-e5-large-instruct	Retrieval	Dense	Augmentation	No	No	No
5	QTPride	716138	no	no	0.6573	0.649	0.8777	0.8555	0.795	0.715	0.2445	0.6656	0.9181	0.8687	0.81	0.77	0.2477	0.5999	0.8533	0.8305	0.74	0.6725	0.236	0.6774	0.6734		0.6754	0.9023	0.6287	0.5939		0.6113	0.7888	0.8741	0.8551	Encoder	Retrieval	RRF; Relational Graph Convolutional Network; KG-enhanced retrieval	LLM entity extraction		No	multilingual-e5-large-instruct	Retrieval	Dense	Augmentation	No	No	No
6	bipboopbipboop	715693	no	no	0.6532	0.6552	0.9186	0.8686	0.835	0.715	0.239	0.6512	0.9116	0.8675	0.8	0.7325	0.2435	0.6438	0.8986	0.8631	0.84	0.7225	0.238	0.6618	0.657		0.6594	0.8837	0.6531	0.6491		0.6511	0.8631	0.8714	0.8727	Encoder; Decoder	Retrieval; Reranking	Geometric-mean fusion; Cosine similarity Loss; LoRA	Prompt engineering; LLM-as-a-judge; Pointwise reranking; Tournament listwise reranker		No	Qwen3-Reranker-8B; Qwen3-235B; BGE-LoRA; MiniLM	Retrieval+Reranking	Dense+Generative	Reranking + augmentation	Yes	No	No
7	Skillberg	709705	no	no	0.6496	0.6608	0.8703	0.8567	0.795	0.7425	0.2415	0.6384	0.8475	0.8469	0.765	0.73	0.2428	0.6221	0.8222	0.8345	0.745	0.7025	0.2353	0.6446	0.648		0.6463	0.9336	0.6311	0.6303		0.6307	0.9309	0.9369	0.9338	Encoder; Lexical	Retrieval; Reranking	Hybrid retrieval; Curriculum Learning; GISTEmbedLoss; MatryoshkaLoss; Proprietary job-skill knowledge graph; Cross-Encoder reranking	Prompt engineering; Data Augmentation		No	multilingual-e5-large-instruct; BM25; Mistral; Jina cross-encoder v2	Retrieval+Reranking	Dense+Lexical	Augmentation	Yes	No	No
8	bipboopbipboop	715145	no	no	0.6496	0.6552	0.9186	0.8686	0.835	0.715	0.239	0.6439	0.9228	0.865	0.81	0.735	0.2415	0.6239	0.8412	0.8486	0.825	0.7025	0.2335	0.6452	0.6583		0.6518	0.8795	0.6445	0.6239		0.6342	0.8539	0.8714	0.8683	Encoder; Decoder	Retrieval; Reranking	Geometric-mean fusion; Cosine similarity Loss; LoRA	Prompt engineering; LLM-as-a-judge; Pointwise reranking; Tournament listwise reranker		No	Qwen3-Reranker-8B; Qwen3-235B; BGE-LoRA; MiniLM	Retrieval+Reranking	Dense+Generative	Reranking + augmentation	Yes	No	No
9	Skillberg	690318	no	no	0.6481	0.6562	0.8981	0.8571	0.815	0.7425	0.2383	0.64	0.8548	0.8443	0.775	0.73	0.2357	0.6373	0.8786	0.8472	0.79	0.75	0.2313	0.6485	0.645		0.6468	0.9353	0.6458	0.6421		0.6439	0.9351	0.9285	0.9330	Encoder; Lexical	Retrieval; Reranking	Hybrid retrieval; Curriculum Learning; GISTEmbedLoss; MatryoshkaLoss; Proprietary job-skill knowledge graph; Cross-Encoder reranking	Prompt engineering; Data Augmentation		No	multilingual-e5-large-instruct; BM25; Mistral; Jina cross-encoder v2	Retrieval+Reranking	Dense+Lexical	Augmentation	Yes	No	No
10	bipboopbipboop	714706	no	no	0.6351	0.6263	0.8968	0.854	0.81	0.7125	0.2355	0.6439	0.9228	0.865	0.81	0.735	0.2415	0.6239	0.8412	0.8486	0.825	0.7025	0.2335	0.6452	0.6583		0.6518	0.8795	0.6445	0.6239		0.6342	0.8539	0.8673	0.8669	Encoder; Decoder	Retrieval; Reranking	Geometric-mean fusion; Cosine similarity Loss; LoRA	Prompt engineering; LLM-as-a-judge; Pointwise reranking; Tournament listwise reranker		No	Qwen3-Reranker-8B; Qwen3-235B; BGE-LoRA; MiniLM	Retrieval+Reranking	Dense+Generative	Reranking + augmentation	Yes	No	No
